assigned_memory,req_memory,avg_memory,max_memory,page_cache_memory,runtime_seconds,macro_cluster
0.0025901794433593,0.0026054382324218,0.0013904571533203,0.0013942718505859,0.0002994537353515,0.3,1
0.02874755859375,0.02679443359375,0.0037879943847656,0.0049057006835937,0.0011310577392578,0.137,0
0.0012702941894531,0.0012454986572265,0.0009822845458984,0.0009841918945312,2.47955322265625e-05,0.295,1
0.0050125122070312,0.0050125122070312,0.0026702880859375,0.0026702880859375,0.0005407333374023,0.3,1
0.0104217529296875,0.0104217529296875,6.580352783203125e-05,6.961822509765625e-05,2.86102294921875e-06,0.003,2
0.0,0.0013027191162109,0.008880615234375,0.010040283203125,0.0012798309326171,0.3,0
0.0027542114257812,0.0027580261230468,0.0004138946533203,0.0004158020019531,0.0002212524414062,0.3,0
0.0,0.0013027191162109,0.008880615234375,0.010040283203125,0.0012798309326171,0.3,0
0.0731201171875,0.0369873046875,0.00335693359375,0.0033798217773437,0.0007581710815429,0.3,0
0.009765625,0.009765625,0.0017452239990234,0.0017452239990234,0.0005474090576171,0.3,0
0.0078125,0.0050811767578125,0.003875732421875,0.0050201416015625,0.0001335144042968,0.3,1
0.0036201477050781,0.0036239624023437,0.0025215148925781,0.0025291442871093,0.0005388259887695,0.3,1
